Mix Number,7 Day Compressive Strength (PSI),14 Day Compressive Strength (PSI),28 Day Compressive Strength (PSI),90 Day Compressive Strength (PSI), 7 Day Modulus of Rupture (PSI),14 Day Modulus of Rupture (PSI),28 Day Modulus of Rupture (PSI),90 Day Modulus of Rupture (PSI),7 Day Modulus of Elasticity (PSI),14 Day Modulus of Elasticity (PSI),28 Day Modulus of Elasticity (PSI),90 Day Modulus of Elasticity (PSI),7 Day Poisson's Ratio,14 DayPoisson's Ratio,28 Day Poisson's Ratio,90 Day Poisson's Ratio,7 Day Splitting Tensile Strength (PSI),14 Day Splitting Tensile Strength (PSI),28 Day Splitting Tensile Strength (PSI),90 Day Splitting Tensile Strength (PSI),28 Day Coefficient of Thermal Expansion (mm/mm/C),Mix Proportion Grade,Cement,SCM,Fine Aggregate,Coarse Aggregate,"AEA, Batch A (mL)","AEA, Batch B (mL)","% Air, Batch A","% Air, Batch B","Slump, Batch A (in)","Slump, Batch B (in)","Water Cement Ratio, Batch A (fraction)","Water Cement Ratio, Batch B (fraction)","Water Reducing Admixture, Batch A (mL)","Water Reducing Admixture, Batch B (mL)",REFERENCE: author
53,3887,4558,4949,5587,704,863,875,927,3243333,3800000,3959833,4576833,0.18,0.19,0.2,0.2,428,483,488,515,9.61E-06,A-S,Cement 2 + Slag 2,,Sand A,CS1,11,12,4.9,5,2.25,2.25,0.4,0.4,25,25,Cramer
54,4809,5416,5745,6203,849,902,972,1057,4770750,5012500,5105667,4783000,0.23,0.2,0.19,0.17,437,484,541,510,8.99E-06,A-S,Cement 2 + Slag 2,,Sand A,CS2,16,15,6,5.9,1.75,1.25,0.4,0.4,80,83,Cramer
55,4546,5356,5862,6688,668,750,836,846,3087333,3573500,3531500,4246000,0.19,0.21,0.21,0.21,447,475,494,636,9.47E-06,A-S,Cement 2 + Slag 2,,Sand A,CS3,8,8,4.6,4.8,2,2,0.4,0.4,70,70,Cramer
56,3793,4654,5067,5788,763,740,804,839,3793833,4212333,4403000,4841667,0.18,0.18,0.19,0.17,376,396,459,468,9.56E-06,A-F,Cement 2 + Fly Ash 1,,Sand A,GG1,12,16,5.2,6.3,3,3,0.37,0.37,0,0,Cramer
57,4234,4945,5385,6763,604,740,746,811,3521833,3937000,4097333,4793833,0.2,0.21,0.21,0.21,337,430,451,479,9.88E-06,A-F,Cement 2 + Fly Ash 1,,Sand A,GG2,12.5,12.5,5.9,5,3,3,0.37,0.38,0,0,Cramer
58,4285,4939,5666,6453,654,771,892,952,3591667,3884167,4079400,5000167,0.19,0.19,0.2,0.22,415,449,538,578,9.48E-06,A-F,Cement 2 + Fly Ash 1,,Sand A,CS1,11.5,12,5,4.7,3,3,0.37,0.37,0,0,Cramer
59,3820,4520,5320,6131,727,798,880,968,4437167,4623667,5146833,5134833,0.16,0.17,0.18,0.18,391,471,534,545,8.81E-06,A-F,Cement 2 + Fly Ash 1,,Sand A,CS2,18,18,6,6,2.75,2.25,0.39,0.39,0,0,Cramer
60,5497,6390,7293,8798,687,694,781,877,3361333,3819667,4073500,5062000,0.21,0.23,0.22,0.24,454,461,518,735,9.55E-06,A-F,Cement 2 + Fly Ash 1,,Sand A,CS3,13,12,5.5,3.7,3,2,0.39,0.39,0,0,Cramer
61,3666,4245,4726,5534,668,661,746,848,3879833,3818167,4377167,4794500,0.17,0.15,0.18,0.18,360,392,428,455,9.48E-06,A-F,Cement 2 + Fly Ash 2,,Sand A,GG1,19,15,6.1,6,3,3,0.38,0.38,0,0,Cramer
62,4155,4900,5486,6660,627,656,827,838,4080500,3929167,4111333,4603333,0.21,0.2,0.19,0.2,367,436,507,544,9.71E-06,A-F,Cement 2 + Fly Ash 2,,Sand A,GG2,16,16,5.9,4.7,3,3,0.37,0.38,0,0,Cramer
63,4312,5116,5557,6786,690,795,810,884,3745000,3834667,4076667,5014833,0.2,0.21,0.2,0.21,420,428,480,548,9.78E-06,A-F,Cement 2 + Fly Ash 2,,Sand A,CS1,16,18,5,4.9,2,2.25,0.38,0.38,0,0,Cramer
64,3545,4151,4515,5346,666,765,891,897,4261667,4603167,4921000,5289500,0.18,0.19,0.16,0.17,394,453,475,531,9.13E-06,A-F,Cement 2 + Fly Ash 2,,Sand A,CS2,22,25,5.4,6.4,1.75,2.25,0.4,0.4,0,0,Cramer
65,4664,5319,6325,7763,590,695,784,833,3250167,3679167,3818667,4724833,0.2,0.21,0.22,0.22,415,454,515,667,9.47E-06,A-F,Cement 2 + Fly Ash 2,,Sand A,CS3,15,14,5.2,4.6,2.75,2.25,0.39,0.39,0,0,Cramer
66,4334,5010,5746,6858,661,707,808,822,4195333,4372500,4704667,5051833,0.18,0.19,0.17,0.19,412,465,466,551,9.44E-06,A-F,Cement 2 + Fly Ash 3,,Sand A,GG1,18,18.5,5.6,5.2,3,2.75,0.37,0.37,0,0,Cramer
67,4249,5007,5579,6713,742,799,812,1009,3194667,3719500,4430167,4794667,0.15,0.18,0.21,0.21,418,420,481,527,9.69E-06,A-F,Cement 2 + Fly Ash 3,,Sand A,GG2,15,17.5,4.2,4.6,3,2.25,0.37,0.37,0,0,Cramer
68,4526,5398,6055,6985,674,757,825,948,3817167,4055833,4263167,5022167,0.21,0.2,0.21,0.22,430,457,458,590,9.72E-06,A-F,Cement 2 + Fly Ash 3,,Sand A,CS1,20,19.5,6.2,4.8,2.25,2.25,0.37,0.37,0,0,Cramer
69,3966,4610,5217,6064,780,822,834,916,4286667,4871000,4970833,4982167,0.19,0.2,0.19,0.18,425,502,499,533,9.06E-06,A-F,Cement 2 + Fly Ash 3,,Sand A,CS2,22,22,4.9,5.6,2,2.25,0.39,0.39,0,0,Cramer
70,5165,6042,6361,7682,666,696,814,969,3292333,3633167,3942833,4882000,0.19,0.21,0.22,0.22,395,526,540,670,9.48E-06,A-F,Cement 2 + Fly Ash 3,,Sand A,CS3,17,14,5.5,3.7,3,2.25,0.39,0.39,0,0,Cramer
71,3655,4321,5040,5821,664,731,789,839,3478000,3891667,4220667,4683167,0.16,0.18,0.18,0.18,414,454,471,522,9.50E-06,A-S,Cement 1 + Slag 2,,Sand A,GG1,16,16,5.8,5.5,2.25,2.25,0.4,0.4,40,40,Cramer
72,3369,4169,4597,5035,604,700,696,850,3499667,3528833,3641000,3831833,0.21,0.2,0.19,0.18,354,385,452,513,1.01E-05,A-S,Cement 1 + Slag 2,,Sand A,GG2,16,16,5.7,6.2,2.75,2.25,0.4,0.4,35,35,Cramer
73,3650,4351,5072,5229,687,815,826,957,3268167,3614833,3887000,4789000,0.19,0.19,0.19,0.19,359,446,495,523,9.57E-06,A-S,Cement 1 + Slag 2,,Sand A,CS1,16,16,4.6,5,2.25,2.25,0.4,0.4,30,35,Cramer
74,4189,5239,5651,6656,698,794,805,926,4608667,4817833,4949333,5483500,0.19,0.19,0.19,0.19,497,498,514,584,8.62E-06,A-S,Cement 1 + Slag 2,,Sand A,CS2,22,24,5,5.2,1.25,2,0.4,0.4,85,85,Cramer
75,4149,5326,5966,6522,640,692,766,882,3143000,3351167,3680667,4050833,0.19,0.19,0.2,0.21,414,476,484,561,9.47E-06,A-S,Cement 1 + Slag 2,,Sand A,CS3,12,11,4.8,4.7,2,2.25,0.4,0.4,80,80,Cramer
76,3904,4721,5147,6590,584,612,684,826,3674500,4031000,4340500,4957167,0.16,0.18,0.19,0.18,382,460,488,523,9.48E-06,A-F,Cement 1 + Fly Ash 2,,Sand A,GG1,23,22.5,6.3,5.3,3,3,0.38,0.38,0,0,Cramer
77,3778,4294,5126,5851,560,686,721,876,3185000,3545167,3852500,4575333,0.18,0.18,0.2,0.19,347,383,471,530,9.88E-06,A-F,Cement 1 + Fly Ash 2,,Sand A,GG2,20.5,23,4.2,5.6,2.75,3,0.37,0.38,0,0,Cramer
78,4021,4518,5370,6257,679,682,796,923,3480000,3538000,4042667,4629833,0.2,0.19,0.19,0.19,401,431,495,565,9.50E-06,A-F,Cement 1 + Fly Ash 2,,Sand A,CS1,23,25,4.8,4.9,3,2.25,0.38,0.38,0,0,Cramer
79,3707,4326,4981,5987,611,757,781,939,4100333,4362333,4798167,5255333,0.17,0.16,0.19,0.19,439,441,473,541,8.60E-06,A-F,Cement 1 + Fly Ash 2,,Sand A,CS2,26.5,30,4.8,6,2.25,3,0.4,0.4,10,10,Cramer
80,4954,5363,6459,7707,649,738,756,877,3298500,3802833,4068000,4658333,0.21,0.24,0.21,0.21,396,475,450,579,9.58E-06,A-F,Cement 1 + Fly Ash 2,,Sand A,CS3,18,21,3.6,4.3,2,2.25,0.39,0.39,0,0,Cramer
81,4290,4942,5598,6846,613,659,668,803,3795500,4184667,4166000,5109167,0.17,0.18,0.17,0.19,407,443,467,566,9.36E-06,A-F,Cement 1 + Fly Ash 3,,Sand A,GG1,23,23.5,5.3,4.9,2.75,2.25,0.38,0.38,0,0,Cramer
82,3828,4534,5135,5910,614,675,770,880,3358833,3753667,4346500,4380000,0.18,0.19,0.21,0.18,379,411,460,546,9.78E-06,A-F,Cement 1 + Fly Ash 3,,Sand A,GG2,21,22.5,4.6,4.7,2.75,3,0.38,0.38,0,0,Cramer
83,3798,4339,4995,5401,657,683,805,872,3562833,3603000,3871667,4458667,0.16,0.16,0.18,0.2,362,421,501,556,9.67E-06,A-F,Cement 1 + Fly Ash 3,,Sand A,CS1,22.5,24,5.2,4.7,3,2.75,0.38,0.38,0,0,Cramer
84,3833,4321,5290,6168,591,655,690,929,4226667,5028000,4842500,5218167,0.17,0.21,0.17,0.19,447,480,478,565,8.58E-06,A-F,Cement 1 + Fly Ash 3,,Sand A,CS2,30,27,6.6,5.9,2.25,2.75,0.4,0.4,10,10,Cramer
85,4673,5462,6167,7053,630,671,716,847,3112000,3303500,3703667,4523833,0.18,0.21,0.21,0.2,363,427,438,547,9.50E-06,A-F,Cement 1 + Fly Ash 3,,Sand A,CS3,21,23,4.2,4.5,2.25,2.75,0.39,0.39,0,0,Cramer
86,3912,4610,5342,5973,611,730,736,747,3765667,4083333,4369167,4912167,0.17,0.18,0.16,0.18,450,448,474,487,9.59E-06,A-S,Cement 1 + Slag 1,,Sand B,GG1,14,14,6,5.5,3,2.25,0.39,0.39,0,0,Cramer
87,3934,4781,5324,6341,544,608,713,785,3593500,4118500,4081667,4869000,0.18,0.2,0.18,0.18,395,434,471,522,9.60E-06,A-S,Cement 1 + Slag 1,,Sand B,GG2,20,21,4.4,5,1.75,2.25,0.39,0.39,0,0,Cramer
88,3820,4591,4995,5893,563,691,666,884,3246500,3672833,3994500,4757500,0.17,0.17,0.17,0.19,406,479,497,469,9.77E-06,A-S,Cement 1 + Slag 1,,Sand B,CS1,13.5,12.5,6.4,5.3,3,3,0.4,0.4,0,0,Cramer
89,4011,4756,5475,6116,718,797,918,979,4341833,4577167,5026500,5165500,0.17,0.17,0.18,0.17,455,495,510,551,8.87E-06,A-S,Cement 1 + Slag 1,,Sand B,CS2,23,23,5.8,6.1,1.25,1.25,0.4,0.4,10,15,Cramer
90,5303,6425,7092,8091,587,633,726,857,3337500,3648167,4537167,4522167,0.19,0.2,0.22,0.21,457,458,502,600,9.75E-06,A-S,Cement 1 + Slag 1,,Sand B,CS3,12,12,4.6,3.7,1.25,1.25,0.4,0.4,20,20,Cramer
91,3728,4318,4970,5643,569,617,713,761,3943667,3972500,4391667,4896000,0.19,0.17,0.16,0.17,365,421,506,478,9.36E-06,A-S,Cement 1 + Slag 2,,Sand B,GG1,15,12.5,6.6,5.3,3,2.25,0.4,0.39,0,0,Cramer
92,3813,4536,5020,5634,630,662,774,895,3278833,3788167,4017333,4978500,0.18,0.17,0.18,0.19,404,450,492,517,1.00E-05,A-S,Cement 1 + Slag 2,,Sand B,GG2,12,14,4.8,5.6,2.25,3,0.39,0.39,0,0,Cramer
93,4049,4535,4931,6072,638,734,756,814,3487500,3853833,4368333,4956000,0.17,0.17,0.18,0.19,419,429,479,483,9.47E-06,A-S,Cement 1 + Slag 2,,Sand B,CS1,12.5,14,5,4.5,3,2.25,0.39,0.39,0,0,Cramer
94,3783,4513,5378,5535,687,745,782,840,4289500,4657667,5680000,5182000,0.17,0.18,0.22,0.22,390,477,438,558,8.67E-06,A-S,Cement 1 + Slag 2,,Sand B,CS2,23,22,6.6,6.2,2.25,2.25,0.4,0.4,10,10,Cramer
95,4473,5552,6644,7765,641,663,816,903,3243500,3624333,4037167,4695167,0.2,0.19,0.21,0.22,379,455,489,585,9.51E-06,A-S,Cement 1 + Slag 2,,Sand B,CS3,10,10,4.7,4.6,2.25,2.25,0.4,0.4,25,25,Cramer
96,4375,5127,5712,6636,594,650,682,823,4243833,4587333,4966833,5382333,0.15,0.17,0.19,0.18,388,439,414,490,9.49E-06,A-F,Cement 1 + Fly Ash 1,,Sand B,GG1,17,17,5.6,5.6,3,3,0.34,0.34,0,0,Cramer
97,5154,5855,6183,7610,636,689,689,727,4592333,4278333,4606500,5432833,0.21,0.18,0.18,0.2,421,486,521,558,9.67E-06,A-F,Cement 1 + Fly Ash 1,,Sand B,GG2,17,20,5.5,4.9,3,2.25,0.33,0.33,0,0,Cramer
98,4312,5287,5764,6644,664,691,763,901,3800833,4042333,4295000,5840833,0.17,0.18,0.18,0.22,401,439,468,477,9.68E-06,A-F,Cement 1 + Fly Ash 1,,Sand B,CS1,16,19,4.7,5.4,3,3,0.34,0.34,0,0,Cramer
99,4498,5302,5947,6758,543,621,623,732,4528000,4814167,5389333,5504000,0.19,0.16,0.18,0.17,507,516,492,536,8.63E-06,A-F,Cement 1 + Fly Ash 1,,Sand B,CS2,20,20.5,5.6,4.9,2.25,2.25,0.37,0.37,0,0,Cramer
100,4669,5433,5919,7265,585,618,756,775,3494333,3343833,3813833,4784333,0.19,0.19,0.18,0.2,419,391,498,600,9.63E-06,A-F,Cement 1 + Fly Ash 1,,Sand B,CS3,11,9,5.6,4.9,2.75,2.75,0.37,0.37,0,0,Cramer
101,4014,4535,5248,5960,508,575,666,795,4312167,4259167,4582333,5152333,0.17,0.15,0.15,0.19,381,412,460,467,9.33E-06,A-F,Cement 1 + Fly Ash 2,,Sand B,GG1,21,22,5.4,5.8,2.25,3,0.35,0.35,0,0,Cramer
102,4747,5453,6085,7200,715,667,754,967,3866667,4141667,4546833,5261500,0.18,0.18,0.19,0.2,409,476,490,535,9.88E-06,A-F,Cement 1 + Fly Ash 2,,Sand B,GG2,20,21,4.4,5,1.75,2.25,0.34,0.35,0,0,Cramer
103,4861,5562,6297,7307,651,710,756,911,3797167,4139333,4335500,5244167,0.18,0.18,0.19,0.2,479,478,511,537,9.88E-06,A-F,Cement 1 + Fly Ash 2,,Sand B,CS1,19.5,21.5,4.5,4.5,1.75,2,0.34,0.35,0,0,Cramer
104,4437,5058,5778,6969,636,596,721,814,4572333,4829833,5194167,5138333,0.17,0.18,0.18,0.17,409,473,487,520,8.53E-06,A-F,Cement 1 + Fly Ash 2,,Sand B,CS2,24,24,5.8,5.7,2.25,2,0.38,0.38,0,0,Cramer
105,4616,5562,6244,7661,618,677,725,849,3222000,3427667,3524833,4924333,0.19,0.19,0.18,0.21,315,374,471,579,9.61E-06,A-F,Cement 1 + Fly Ash 2,,Sand B,CS3,21,22,4.7,5.3,1.25,2,0.37,0.37,0,0,Cramer
106,3923,4497,4792,5895,582,639,712,731,4204167,4371000,4458500,5138833,0.17,0.18,0.18,0.16,393,476,425,526,9.28E-06,A-F,Cement 1 + Fly Ash 3,,Sand B,GG1,23,23,5.6,6.4,3,3,0.34,0.34,0,0,Cramer
107,4304,5060,5885,6793,595,661,664,788,3640500,3780500,4191500,5040167,0.18,0.17,0.2,0.19,403,416,478,541,9.86E-06,A-F,Cement 1 + Fly Ash 3,,Sand B,GG2,21,21,5.9,6,3,3,0.35,0.35,0,0,Cramer
108,4725,5553,5944,7091,698,716,787,897,4059500,4116500,4448500,5130667,0.18,0.18,0.18,0.19,458,472,526,539,9.58E-06,A-F,Cement 1 + Fly Ash 3,,Sand B,CS1,20,24,4.5,5.2,2.25,2.25,0.34,0.34,0,0,Cramer
109,4193,4849,5067,6448,602,685,775,782,4462000,4902500,5052500,5122167,0.18,0.2,0.19,0.18,407,489,481,525,8.74E-06,A-F,Cement 1 + Fly Ash 3,,Sand B,CS2,25,25,5.8,6,3,3,0.38,0.38,0,0,Cramer
110,4819,5632,6565,7376,625,706,768,860,3099667,3575167,4040500,4887000,0.18,0.2,0.2,0.22,391,423,487,534,9.65E-06,A-F,Cement 1 + Fly Ash 3,,Sand B,CS3,21,21,5.4,4.8,2.25,2.25,0.37,0.37,0,0,Cramer
